No,그룹,그룹,분류,2025년 4월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025년 4월,2025년 4월,2025년 4월,2025년 4월
No,그룹,그룹,분류,평균월세보증금,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평균월세보증금,평균월세가격,중위월세보증금,중위월세가격
No,그룹,그룹,분류,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천원,천원,천원,천원
38,서울,동남권,40㎡초과 60㎡이하,"18,854",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""18,854""","""1,339""","""20,000""","""1,260"""
39,서울,동남권,60㎡초과 85㎡이하,"34,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""34,000""","""2,119""","""30,000""","""2,150"""
40,서울,동남권,85㎡초과,"136,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""136,000""","""6,194""","""100,000""","""4,560"""
41,인천,인천,전체,"12,829",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""12,829""",687,"""10,946""",655
42,인천,인천,40㎡이하,"6,297",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""6,297""",514,"""5,000""",500
43,인천,인천,40㎡초과 60㎡이하,"15,103",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""15,103""",747,"""10,250""",725
44,인천,인천,60㎡초과 85㎡이하,"20,905",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""20,905""",878,"""20,000""",820
45,인천,인천,85㎡초과,"20,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""20,000""","""1,191""","""20,000""","""1,050"""
46,경기,경기,전체,"15,038",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""15,038""",825,"""10,620""",805
47,경기,경기,40㎡이하,"6,928",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""6,928""",607,"""5,000""",600
48,경기,경기,40㎡초과 60㎡이하,"16,801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""16,801""",955,"""10,000""",905
49,경기,경기,60㎡초과 85㎡이하,"40,520",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""40,520""","""1,364""","""30,000""","""1,370"""
50,경기,경기,85㎡초과,"42,540",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""42,540""","""1,841""","""30,000""","""1,590"""
51,지방,지방,전체,"10,718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""10,718""",574,"""8,490""",560
52,지방,지방,40㎡이하,"6,686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""6,686""",442,"""5,000""",429
53,지방,지방,40㎡초과 60㎡이하,"12,172",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""12,172""",669,"""9,478""",660
54,지방,지방,60㎡초과 85㎡이하,"20,812",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""20,812""",806,"""20,390""",801
55,지방,지방,85㎡초과,"46,543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""46,543""","""1,892""","""29,790""","""1,815"""
56,부산,부산,전체,"11,631",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""11,631""",578,"""8,352""",561
57,부산,부산,40㎡이하,"7,477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""7,477""",430,"""5,000""",415
58,부산,부산,40㎡초과 60㎡이하,"13,709",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""13,709""",716,"""10,000""",695
59,부산,부산,60㎡초과 85㎡이하,"20,560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""20,560""",780,"""20,000""",785
60,부산,부산,85㎡초과,"51,206",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""51,206""","""2,074""","""30,000""","""2,000"""
61,대구,대구,전체,"9,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""9,133""",577,"""8,429""",565
62,대구,대구,40㎡이하,"5,132",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""5,132""",454,"""5,000""",430
63,대구,대구,40㎡초과 60㎡이하,"11,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""11,600""",677,"""10,000""",680
64,대구,대구,60㎡초과 85㎡이하,"21,375",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""21,375""",912,"""20,000""",920
65,대구,대구,85㎡초과,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,광주,광주,전체,"9,024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""9,024""",549,"""8,927""",542
67,광주,광주,40㎡이하,"4,587",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""4,587""",437,"""5,000""",425
68,광주,광주,40㎡초과 60㎡이하,"10,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""10,200""",643,"""10,000""",685
