No,그룹,그룹,분류,2025년 4월,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2025년 4월,2025년 4월,2025년 4월,2025년 4월
No,그룹,그룹,분류,평균전세가격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,평균전세가격,평균단위당전세가격,중위전세가격,중위단위당전세가격
No,그룹,그룹,분류,천원,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,천원,천원/㎡,천원,천원/㎡
36,서울,동남권,전체,"267,781",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""267,781""","""7,529""","""265,734""","""7,180"""
37,서울,동남권,40㎡이하,"200,027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""200,027""","""7,525""","""204,500""","""7,068"""
38,서울,동남권,40㎡초과 60㎡이하,"335,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""335,729""","""6,947""","""360,500""","""7,358"""
39,서울,동남권,60㎡초과 85㎡이하,"514,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""514,833""","""7,277""","""544,000""","""7,244"""
40,서울,동남권,85㎡초과,"1,678,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""1,678,600""","""11,777""","""1,248,500""","""9,563"""
41,인천,인천,전체,"138,566",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""138,566""","""3,113""","""136,008""","""3,214"""
42,인천,인천,40㎡이하,"87,980",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""87,980""","""3,497""","""90,750""","""3,809"""
43,인천,인천,40㎡초과 60㎡이하,"153,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""153,147""","""2,957""","""151,500""","""2,832"""
44,인천,인천,60㎡초과 85㎡이하,"199,381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""199,381""","""2,685""","""190,000""","""2,616"""
45,인천,인천,85㎡초과,"248,636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""248,636""","""2,224""","""216,500""","""2,275"""
46,경기,경기,전체,"182,218",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""182,218""","""4,598""","""169,391""","""4,409"""
47,경기,경기,40㎡이하,"117,833",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""117,833""","""4,752""","""110,500""","""4,550"""
48,경기,경기,40㎡초과 60㎡이하,"220,729",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""220,729""","""4,352""","""201,500""","""4,283"""
49,경기,경기,60㎡초과 85㎡이하,"340,490",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""340,490""","""4,357""","""327,500""","""4,246"""
50,경기,경기,85㎡초과,"482,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""482,200""","""3,929""","""402,000""","""3,163"""
51,지방,지방,전체,"118,159",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""118,159""","""3,007""","""114,002""","""2,898"""
52,지방,지방,40㎡이하,"82,572",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""82,572""","""3,120""","""77,832""","""2,984"""
53,지방,지방,40㎡초과 60㎡이하,"140,133",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""140,133""","""2,810""","""143,739""","""2,772"""
54,지방,지방,60㎡초과 85㎡이하,"193,717",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""193,717""","""2,578""","""193,526""","""2,597"""
55,지방,지방,85㎡초과,"442,604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""442,604""","""3,158""","""403,514""","""2,820"""
56,부산,부산,전체,"124,080",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""124,080""","""3,184""","""117,594""","""3,052"""
57,부산,부산,40㎡이하,"84,431",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""84,431""","""3,237""","""78,500""","""3,110"""
58,부산,부산,40㎡초과 60㎡이하,"156,241",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""156,241""","""3,181""","""158,500""","""3,022"""
59,부산,부산,60㎡초과 85㎡이하,"200,030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""200,030""","""2,720""","""195,500""","""2,713"""
60,부산,부산,85㎡초과,"489,147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"""489,147""","""3,434""","""445,000""","""3,001"""
