시도,가격
전국,54189
수도권,86540
지방권,25063
9개도,37221
8개도,19089
서울,146741
서울,107866
서울,151607
서울,91643
서울,115584
서울,187205
서울,123929
서울,274119
경기,60100
경기,119953
경기,55800
경기,43946
경기,82057
경기,24195
경기,48889
경기,23000
인천,28406
부산,35488
부산,34111
부산,43722
부산,27994
대구,23739
광주,36909
대전,39100
울산,33355
세종,28726
강원,15922
충북,15710
충남,17653
전북,25081
전남,13399
경북,11704
경남,30713
제주,10414
